city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,pollution
Ahmedabad,30-11-2020,5,520.71,2.38,16.28,130.18,47.68,65.96,72.13,8.36,863.68
Ahmedabad,01-12-2020,5,1682.28,7.71,54.84,0.73,21.7,120.95,154.53,27.36,2070.1
Ahmedabad,02-12-2020,5,1815.8,16.54,49.35,0.17,23.84,133.47,172.63,28.12,2239.92
Ahmedabad,03-12-2020,5,2296.45,41.57,40.1,0,35.76,150.37,202.15,36.48,2802.88
Ahmedabad,04-12-2020,5,2189.64,23.92,58.95,0.02,28.13,160.79,205.8,40.53,2707.78
Ahmedabad,05-12-2020,5,3845.22,57.22,137.09,0,110.63,249.51,322.46,178.34,4900.47
Ahmedabad,06-12-2020,5,2883.91,27.94,98.71,0.02,84.88,232.03,281.96,96.26,3705.71
Ahmedabad,07-12-2020,5,1628.88,19.89,40.1,0.02,21.22,106.27,143.12,31.67,1991.17
Ahmedabad,08-12-2020,5,1735.69,9.28,59.63,0.59,25.99,122.37,163.42,43.06,2160.03
Ahmedabad,09-12-2020,5,2857.21,34.87,69.92,0,46.25,213.63,276.18,58.77,3556.83
Ahmedabad,10-12-2020,5,1762.39,6.48,67.17,1.54,28.61,145.72,184.11,38,2234.02
Ahmedabad,11-12-2020,5,540.73,0,16.79,91.55,21.46,84.27,89.55,3.17,847.52
Ahmedabad,12-12-2020,5,1695.63,11.96,40.44,0.2,19.31,129.55,154,9.63,2060.72
Ahmedabad,13-12-2020,5,3845.22,84.04,54.15,0,53.88,294.44,372,61.81,4765.54
Ahmedabad,14-12-2020,5,1388.55,2.68,61.01,8.76,16.69,103.12,121.52,19.25,1721.58
Ahmedabad,15-12-2020,5,2323.15,39.79,46.61,0,22.89,154.42,203.12,24.07,2814.05
Ahmedabad,16-12-2020,5,807.76,0,28.79,53.64,18.84,82.19,92.38,14.31,1097.91
Ahmedabad,17-12-2020,5,640.87,0,14.74,72.96,14.19,75.38,85.11,12.16,915.41
Ahmedabad,18-12-2020,5,727.65,0,17.82,66.52,14.42,86.72,99.66,14.31,1027.1
Ahmedabad,19-12-2020,5,654.22,0,14.74,76.53,13.47,79.28,89.38,12.41,940.03
Ahmedabad,20-12-2020,4,520.71,0,14.05,59.37,10.49,39.45,47.61,12.29,703.97
Ahmedabad,21-12-2020,5,620.84,0,17.31,42.56,10.73,55.16,65.83,13.81,826.24
Ahmedabad,22-12-2020,5,961.3,0.41,30.5,13.95,15.14,77.91,96.79,18.75,1214.75
Ahmedabad,23-12-2020,5,1522.06,16.54,35.64,0.12,17.41,117.6,148.87,23.81,1882.05
Ahmedabad,24-12-2020,5,2510.07,46.49,45.93,0,23.84,167.85,223.14,37.49,3054.81
Ahmedabad,25-12-2020,5,1148.22,3.13,38.73,4.78,14.42,108.53,133.88,20.01,1471.7
Ahmedabad,26-12-2020,5,854.49,0.03,24.68,26.46,14.42,94.91,111.12,16.21,1142.32
Ahmedabad,27-12-2020,5,3070.83,43.36,127.49,0,82.02,239.23,296.21,143.89,4003.03
Ahmedabad,28-12-2020,5,574.11,0,21.76,71.53,19.31,68.91,139.67,11.78,907.07
Ahmedabad,29-12-2020,5,1041.41,3.13,38.39,4.07,16.93,62.63,101.28,21.53,1289.37
Ahmedabad,30-12-2020,4,607.49,0,13.88,97.28,17.88,49.41,58.4,11.53,855.87
Ahmedabad,31-12-2020,5,527.38,0,11.31,105.86,17.64,56.5,66.35,10.01,795.05
Ahmedabad,01-01-2021,5,774.38,0,18.85,57.94,14.42,106.42,121.51,14.95,1108.47
Ahmedabad,02-01-2021,5,767.71,0,20.05,70.81,16.21,115.08,125.53,13.93,1129.32
Ahmedabad,03-01-2021,5,667.57,0,16.79,85.12,15.74,94.08,106.82,12.03,998.15
Ahmedabad,04-01-2021,5,1081.47,0,22.62,55.08,13.71,192.22,209.49,14.57,1589.16
Ahmedabad,05-01-2021,5,907.9,0,15.59,89.41,14.9,175.22,188.13,11.27,1402.42
Ahmedabad,06-01-2021,5,921.25,0,21.08,69.38,14.9,137.8,149.89,12.54,1326.84
Ahmedabad,07-01-2021,5,1094.82,0.64,39.76,18.42,14.78,79.58,97.67,17.23,1362.9
Ahmedabad,08-01-2021,5,1388.55,1.43,45.24,6.53,15.74,106.43,130.2,9.37,1703.49
Ahmedabad,09-01-2021,5,781.06,0,20.22,77.25,16.21,78.96,86.3,11.78,1071.78
Ahmedabad,10-01-2021,5,934.6,0.29,22.28,13.05,9.42,96.97,113.29,7.54,1197.44
Ahmedabad,11-01-2021,5,1041.41,0.06,30.5,20.92,12.4,104,116.47,13.17,1338.93
Ahmedabad,12-01-2021,5,1575.47,10.17,42.5,0.24,16.93,146.97,176.57,19.76,1988.61
Ahmedabad,13-01-2021,5,847.82,0,20.39,45.78,11.8,81.59,94.46,10.89,1112.73
Ahmedabad,14-01-2021,4,720.98,0,22.62,41.84,13.95,43.46,56.14,15.07,914.06
Ahmedabad,15-01-2021,5,787.74,0.02,25.02,33.26,14.07,52.78,67.53,17.48,997.9
Ahmedabad,16-01-2021,5,4806.52,101.03,50.04,0,43.87,358.79,417.06,37.49,5814.8
Ahmedabad,17-01-2021,5,3284.45,43.36,71.29,0,81.06,270.12,309.3,87.14,4146.72
Ahmedabad,18-01-2021,5,2349.85,31.29,42.16,0,28.85,235.98,266.38,28.63,2983.14
Ahmedabad,19-01-2021,5,2243.04,33.08,49.35,0,30.52,163.96,194.51,28.63,2743.09
Ahmedabad,20-01-2021,5,1295.09,1.06,46.61,12.7,19.79,137.93,154.6,20.77,1688.55
Ahmedabad,21-01-2021,5,5607.61,98.35,67.17,0,39.58,501.41,559.03,44.58,6917.73
Ahmedabad,22-01-2021,5,2403.26,23.92,52.09,0.03,27.9,244.17,284.97,35.97,3072.31
Ahmedabad,23-01-2021,5,6942.75,157.36,66.49,0,64.85,622.81,676.86,40.03,8571.15
Ahmedabad,24-01-2021,5,747.68,0,28.79,40.77,16.93,88.43,180.04,14.95,1117.59
Ahmedabad,25-01-2021,5,1441.96,2.85,38.04,5.1,14.31,208.68,294.44,22.8,2028.18
Ahmedabad,26-01-2021,5,947.95,0,26.05,40.77,16.45,94.93,116.25,18.75,1261.15
Ahmedabad,27-01-2021,4,587.46,0,15.25,80.11,14.19,43.32,52.99,13.05,806.37
Ahmedabad,28-01-2021,5,560.76,0,14.4,69.38,16.93,63.5,69.82,12.29,807.08
Ahmedabad,29-01-2021,5,947.95,0.26,32.56,16.99,16.69,73.87,95.71,20.27,1204.3
Ahmedabad,30-01-2021,5,654.22,0,16.97,75.1,15.5,68.13,79.23,12.92,922.07
Ahmedabad,31-01-2021,5,727.65,0,18.17,56.51,13.47,72.04,82.69,14.31,984.84
Ahmedabad,01-02-2021,5,627.52,0,17.65,44.35,11.09,50.74,60.58,14.44,826.37
Ahmedabad,02-02-2021,5,988.01,0.01,27.76,34.33,15.74,80.34,98.41,19.76,1264.36
Ahmedabad,03-02-2021,5,4058.84,75.1,83.63,0,71.53,307.74,398.93,73.97,5069.74
Ahmedabad,04-02-2021,5,1922.61,15.87,67.17,0.21,44.82,130.47,165.91,32.42,2379.48
Ahmedabad,05-02-2021,5,700.95,0,26.05,72.96,23.84,73.43,99.2,14.31,1010.74
Ahmedabad,06-02-2021,5,988.01,0,28.45,47.92,19.31,103.86,132.49,19,1339.04
Ahmedabad,07-02-2021,5,547.41,0,10.88,101.57,12.52,54.39,64.46,10.51,801.74
Ahmedabad,08-02-2021,5,660.9,0,17.14,72.24,14.9,54.15,65.48,15.2,900.01
Ahmedabad,09-02-2021,5,1268.39,0.47,38.39,13.59,23.13,102.51,125.59,22.55,1594.62
Ahmedabad,10-02-2021,5,2990.72,49.62,42.84,0,39.1,220.16,270.9,39.01,3652.35
Ahmedabad,11-02-2021,5,3685,68.84,62.38,0,77.25,246.55,305.64,58.77,4504.43
Ahmedabad,12-02-2021,5,1468.66,0.55,43.53,12.88,24.56,137.96,164.71,21.03,1873.88
Ahmedabad,13-02-2021,5,2002.72,21.68,45.93,0.02,28.61,183.93,221.95,29.39,2534.23
Ahmedabad,14-02-2021,5,3257.75,48.73,61.01,0,60.08,250.17,298.21,48.13,4024.08
Ahmedabad,15-02-2021,5,1735.69,8.83,60.32,1.61,36.72,120.04,150.86,34.45,2148.52
Ahmedabad,16-02-2021,5,1268.39,7.38,43.18,0.78,24.8,83.25,106.08,22.29,1556.15
Ahmedabad,17-02-2021,5,2082.82,34.87,52.09,0,37.19,131.73,167.22,32.93,2538.85
Ahmedabad,18-02-2021,5,2803.8,39.79,52.78,0,50.55,210.15,263.38,46.61,3467.06
Ahmedabad,19-02-2021,5,1108.17,0.01,32.9,34.33,20.5,88.39,107.45,19,1410.75
Ahmedabad,20-02-2021,5,841.14,0,23.65,50.78,19.07,83.82,99.8,16.09,1134.35
Ahmedabad,21-02-2021,5,1401.9,0.62,39.41,10.46,26.46,118.52,142.03,24.57,1763.97
Ahmedabad,22-02-2021,5,1054.76,0.05,29.47,24.32,21.94,101.01,117.72,18.49,1367.76
Ahmedabad,23-02-2021,5,3685,61.69,64.43,0,89.65,276.32,331.34,76,4584.43
Ahmedabad,24-02-2021,5,2082.82,19.22,58.26,0.03,45.78,149.35,177.03,30.4,2562.89
Ahmedabad,25-02-2021,5,1895.9,13.75,62.38,2.55,43.39,116.1,139.68,39.52,2313.27
Ahmedabad,26-02-2021,5,1869.2,24.36,40.1,0.03,35.29,97.24,123.38,23.05,2212.65
Ahmedabad,27-02-2021,5,540.73,0,17.82,65.8,13.95,59.19,92.73,7.66,797.88
Ahmedabad,28-02-2021,4,527.38,0,14.74,46.49,11.21,33.71,48,9.63,691.16
Ahmedabad,01-03-2021,5,1081.47,0.71,41.81,8.32,23.84,75.66,139.51,19.76,1391.08
Ahmedabad,02-03-2021,4,587.46,0,20.05,56.51,16.45,31.76,48.85,12.79,773.87
Ahmedabad,03-03-2021,4,640.87,0,25.36,65.09,17.88,28.49,40.61,13.55,831.85
Ahmedabad,04-03-2021,4,841.14,0,32.22,41.13,23.6,44.32,60.06,16.72,1059.19
Ahmedabad,05-03-2021,5,1789.09,21.01,56.21,0.02,39.58,115.94,210.72,30.65,2263.22
Ahmedabad,06-03-2021,5,2029.42,19.89,54.15,0,38.15,120.93,221.08,25.59,2509.21
Ahmedabad,07-03-2021,5,1001.36,2.1,37.36,10.01,19.79,70.56,136.7,16.97,1294.85
Ahmedabad,08-03-2021,5,647.54,0.01,20.74,30.4,12.99,55.85,104.59,12.79,884.91
Ahmedabad,09-03-2021,5,1268.39,7.1,36.67,3.58,26.7,79.86,124,17.48,1563.78
Ahmedabad,10-03-2021,4,754.36,0.02,32.22,30.4,20.03,45.22,90.79,12.54,985.58
Ahmedabad,11-03-2021,5,1789.09,20.34,53.47,0.01,42.44,91.26,135.72,31.41,2163.74
Ahmedabad,12-03-2021,4,500.68,0,15.08,60.08,14.07,43.47,69.07,9.63,712.08
Ahmedabad,13-03-2021,5,727.65,0,32.22,37.91,21.7,79.27,186.15,13.81,1098.71
Ahmedabad,14-03-2021,5,3204.35,47.83,97.33,0,100.14,199.62,291.91,103.35,4044.53
Ahmedabad,15-03-2021,4,594.14,0,22.96,55.79,14.78,48.7,72.98,12.16,821.51
Ahmedabad,16-03-2021,5,921.25,0.05,37.7,25.75,24.56,83.77,142.59,16.97,1252.64
Ahmedabad,17-03-2021,5,654.22,0,24.33,43.27,18.84,70.44,132.68,14.06,957.84
Ahmedabad,18-03-2021,5,520.71,0,19.19,52.93,15.5,50.2,93.32,11.02,762.87
Ahmedabad,19-03-2021,5,1295.09,6.04,45.24,0.66,31.95,79.22,126.95,20.77,1605.92
Ahmedabad,20-03-2021,5,1682.28,18.33,43.87,0.04,35.29,114.48,217.52,24.07,2135.88
Ahmedabad,21-03-2021,5,2536.77,35.76,52.09,0,59.61,180.69,265.41,47.12,3177.45
Ahmedabad,22-03-2021,5,801.09,0,28.79,39.34,18.12,69.17,109.39,14.31,1080.21
Ahmedabad,23-03-2021,5,1869.2,23.47,38.39,0.01,42.44,124.21,178.2,23.56,2299.48
Ahmedabad,24-03-2021,5,2243.04,36.66,39.76,0,53.41,140.04,204.78,29.13,2746.82
Ahmedabad,25-03-2021,4,417.23,0,16.45,73.67,15.97,26.99,56.35,9.63,616.29
Ahmedabad,26-03-2021,4,867.84,0.33,35.64,23.25,23.6,46.69,88.18,18.75,1104.28
Ahmedabad,27-03-2021,5,1602.17,2.49,71.29,3.62,37.67,84.08,129.21,22.04,1952.57
Ahmedabad,28-03-2021,5,1228.33,0.12,43.18,15.38,32.42,82.43,128.21,21.28,1551.35
Ahmedabad,29-03-2021,4,447.27,0,11.31,86.55,12.64,49.67,94.91,7.85,710.2
Ahmedabad,30-03-2021,5,453.95,0,13.02,77.96,13.11,51.54,84.63,8.04,702.25
Ahmedabad,31-03-2021,4,494,0,17.14,38.62,12.28,46.16,94.68,10.13,713.01
Ahmedabad,01-04-2021,5,988.01,0.23,33.24,15.38,17.41,98.45,231.17,14.82,1398.71
Ahmedabad,02-04-2021,5,1094.82,0.02,37.01,25.75,27.42,58.37,93.45,18.24,1355.08
Ahmedabad,03-04-2021,5,660.9,0.01,24.33,35.76,14.42,74.87,128.05,12.16,950.5
Ahmedabad,04-04-2021,5,407.22,0,11.31,50.07,9.18,54.69,92.85,8.23,633.55
Ahmedabad,05-04-2021,5,407.22,0,11.65,55.08,10.01,51.19,88.68,7.16,630.99
Ahmedabad,06-04-2021,5,520.71,0,15.08,58.65,13.95,50.43,84.96,9.5,753.28
Ahmedabad,07-04-2021,5,407.22,0,10.2,67.23,10.97,59.96,124.65,5.57,685.8
Ahmedabad,08-04-2021,5,961.3,0.03,33.59,23.6,25.27,73.38,145.26,15.96,1278.39
Ahmedabad,09-04-2021,5,1201.63,1.17,41.81,7.42,28.37,69.59,115.67,20.27,1485.93
Ahmedabad,10-04-2021,4,821.11,0,28.79,45.78,23.6,45.29,74.04,15.71,1054.32
Ahmedabad,11-04-2021,5,1348.5,3.58,40.44,2.06,32.42,76.82,108.67,22.04,1634.53
Ahmedabad,12-04-2021,4,527.38,0,14.91,54.36,12.76,32.09,53.13,11.15,705.78
Ahmedabad,13-04-2021,4,540.73,0,15.25,79.39,14.42,36.26,60.32,8.87,755.24
Ahmedabad,14-04-2021,4,627.52,0,22.62,49.35,18.6,28.21,42.82,13.55,802.67
Ahmedabad,15-04-2021,5,1134.87,0.07,35.99,19.67,31.47,65.28,84.02,18.24,1389.61
Ahmedabad,16-04-2021,4,447.27,0,13.02,70.1,14.07,35.44,58.45,6.78,645.13
Ahmedabad,17-04-2021,4,377.18,0,8.14,61.51,9.3,37.64,80.04,4.31,578.12
Ahmedabad,18-04-2021,5,1148.22,5.03,35.99,1.59,26.7,69.27,121.21,18.24,1426.25
Ahmedabad,19-04-2021,4,514.03,0,15.77,52.21,13.23,41.94,80.05,10.77,728
Ahmedabad,20-04-2021,4,594.14,0,20.39,40.05,15.97,47.88,94.11,10.51,823.05
Ahmedabad,21-04-2021,5,1041.41,2.18,35.64,5.19,24.8,63.84,113.11,18.24,1304.41
Ahmedabad,22-04-2021,5,2109.53,28.61,40.1,0.01,50.55,119.25,209.22,27.61,2584.88
Ahmedabad,23-04-2021,5,527.38,0,17.48,58.65,14.78,53.41,153.04,8.99,833.73
Ahmedabad,24-04-2021,4,393.87,0,11.65,66.52,11.56,39.55,97.89,6.84,627.88
Ahmedabad,25-04-2021,5,2536.77,41.13,45.24,0,50.55,160.07,343.14,32.93,3209.83
Ahmedabad,26-04-2021,5,1628.88,0.98,54.84,16.27,40.05,108.97,182.82,18.75,2051.56
Ahmedabad,27-04-2021,5,520.71,0,14.05,67.23,14.54,55.23,104.72,9.25,785.73
Ahmedabad,28-04-2021,5,674.25,0,20.56,39.34,17.88,55.56,95.79,12.54,915.92
Ahmedabad,29-04-2021,5,500.68,0,12.51,74.39,13.47,52.71,78.38,7.66,739.8
Ahmedabad,30-04-2021,5,627.52,0,17.65,60.8,18.6,53.29,77.27,10.51,865.64
Ahmedabad,01-05-2021,4,494,0,14.57,67.95,14.42,47.97,68.5,8.11,715.52
Ahmedabad,02-05-2021,5,594.14,0,17.65,68.67,26.23,52.19,71.19,9.63,839.7
Ahmedabad,03-05-2021,5,907.9,0,31.53,48.64,23.13,66.89,98.83,15.07,1191.99
Ahmedabad,04-05-2021,4,337.12,0,7.97,62.94,9.3,26.23,40.75,4.37,488.68
Ahmedabad,05-05-2021,4,527.38,0,16.28,45.06,14.42,41.63,68.42,10.26,723.45
Ahmedabad,06-05-2021,4,540.73,0,16.79,37.55,14.42,34.98,68.91,8.99,722.37
Ahmedabad,07-05-2021,4,547.41,0,17.14,49.35,14.78,42.98,76.89,10.01,758.56
Ahmedabad,08-05-2021,4,614.17,0,22.96,43.99,14.42,35.09,69.83,10.01,810.47
Ahmedabad,09-05-2021,4,423.91,0,9.25,60.08,9.18,32.67,79.66,5.83,620.58
Ahmedabad,10-05-2021,4,440.6,0,10.71,45.78,9.89,27.55,61.14,7.73,603.4
Ahmedabad,11-05-2021,4,380.52,0,9.77,51.5,10.97,26.09,59.8,5.51,544.16
Ahmedabad,12-05-2021,4,380.52,0,10.37,50.78,10.37,37.48,79.84,5.32,574.68
Ahmedabad,13-05-2021,4,370.5,0,10.63,43.99,10.73,33.58,87.44,5.57,562.44
Ahmedabad,14-05-2021,4,413.9,0.01,16.97,27.18,19.31,33.1,79.83,6.4,596.7
Ahmedabad,15-05-2021,4,520.71,0,16.28,44.35,14.66,34.11,80.22,9.75,720.08
Ahmedabad,16-05-2021,5,620.84,0,22.28,31.47,18.12,42.81,119.9,12.41,867.83
Ahmedabad,17-05-2021,2,373.84,0,7.45,50.78,12.28,17.26,23.72,7.79,493.12
Ahmedabad,18-05-2021,1,377.18,0,6.94,60.8,8.58,9.44,10.29,1.87,475.1
Ahmedabad,19-05-2021,2,383.85,0,4.11,61.51,3.01,15.12,15.39,0.67,483.66
Ahmedabad,20-05-2021,4,507.36,0,13.2,53.64,10.13,27.03,44.68,8.87,664.91
Ahmedabad,21-05-2021,5,487.33,0.01,15.77,30.4,13.23,60.17,130.39,3.36,740.66
Ahmedabad,22-05-2021,5,367.17,0,14.05,41.13,16.93,49.5,112.6,2.66,604.04
Ahmedabad,23-05-2021,5,340.46,0,11.48,44.7,15.5,47.64,111.29,2.63,573.7
Ahmedabad,24-05-2021,4,387.19,0,11.82,30.4,12.99,28.42,66.47,2.95,540.24
Ahmedabad,25-05-2021,4,473.98,0,13.02,57.22,10.37,29.58,60.32,4.43,648.92
Ahmedabad,26-05-2021,4,390.53,0,11.48,51.5,10.01,28.57,70.08,5.51,567.68
Ahmedabad,27-05-2021,4,353.81,0.01,19.54,29.33,24.8,25.08,64.38,3.39,520.34
Ahmedabad,28-05-2021,4,360.49,0.07,18.85,17.88,22.89,21.66,67.56,4.24,513.64
Ahmedabad,29-05-2021,4,313.76,0.02,16.11,22.89,22.41,21.7,70.18,3.96,471.03
Ahmedabad,30-05-2021,4,307.08,0.01,13.37,23.96,16.45,18.87,56.27,4.12,440.13
Ahmedabad,31-05-2021,4,317.1,0,9.43,43.63,9.66,25.7,86.79,5.07,497.38
Ahmedabad,01-06-2021,4,383.85,0,13.54,51.5,13.23,32.91,95.29,6.59,596.91
Ahmedabad,02-06-2021,4,283.72,0,11.31,39.7,13.35,21.51,72.49,3.55,445.63
Ahmedabad,03-06-2021,4,297.07,0,13.54,36.12,17.88,19.43,55.11,4.12,443.27
Ahmedabad,04-06-2021,4,313.76,0,13.88,33.26,16.21,19,52.39,4.5,453
Ahmedabad,05-06-2021,3,287.06,0.03,14.05,22.53,16.69,14.3,38.8,3.58,397.04
Ahmedabad,06-06-2021,3,253.68,0.01,13.02,28.61,19.31,18.09,42.06,2.25,377.03
Ahmedabad,07-06-2021,2,297.07,0.01,13.37,27.54,16.45,14.97,27.12,4.12,400.65
Ahmedabad,08-06-2021,2,333.79,0,15.59,32.9,18.12,11.72,18.8,4.75,435.67
Ahmedabad,09-06-2021,2,263.69,0,8.4,43.27,11.68,11.64,24.33,2.66,365.67
Ahmedabad,10-06-2021,2,280.38,0.01,9.43,29.33,12.28,15.67,25.12,3.07,375.29
Ahmedabad,11-06-2021,1,257.02,0.02,6.94,23.6,7.45,8.04,10.9,2.53,316.5
Ahmedabad,12-06-2021,2,277.04,0.01,10.11,27.18,9.78,11.49,17.3,3.01,355.92
Ahmedabad,13-06-2021,3,243.66,0,5.36,31.47,7.15,16.22,37.13,1.9,342.89
Ahmedabad,14-06-2021,3,313.76,0,9.68,32.54,11.33,22.35,48.15,4.05,441.86
Ahmedabad,15-06-2021,4,353.81,0,12.85,33.62,13.23,25.48,63.02,5.32,507.33
Ahmedabad,16-06-2021,3,283.72,0,10.97,32.9,12.52,20.3,48.28,3.07,411.76
Ahmedabad,17-06-2021,3,300.41,0.02,14.74,23.96,18.36,23.13,43.5,3.26,427.38
Ahmedabad,18-06-2021,2,297.07,0.17,20.22,14.13,29.8,19.31,22.3,1.76,404.76
Ahmedabad,19-06-2021,2,433.92,0.24,21.76,11.98,22.41,18.76,21.27,2.31,532.65
Ahmedabad,20-06-2021,2,460.63,0.13,15.77,13.23,15.97,17.49,19.15,2.85,545.22
Ahmedabad,21-06-2021,2,507.36,1.73,15.77,2.55,11.44,18.33,23.07,3.29,583.54
Ahmedabad,22-06-2021,5,1268.39,14.75,27.76,0.03,20.98,73.26,108.07,7.28,1520.52
Ahmedabad,23-06-2021,4,580.79,0.52,22.28,7.78,18.6,34.01,47.93,4.24,716.15
Ahmedabad,24-06-2021,3,473.98,0.07,18.51,17.88,17.64,22.59,29.13,3.2,583
Ahmedabad,25-06-2021,2,377.18,0.08,16.45,16.81,13.95,11.15,14.85,3.2,453.67
Ahmedabad,26-06-2021,4,460.63,0.31,19.54,10.28,17.41,25.85,39.99,4.24,578.25
Ahmedabad,27-06-2021,2,413.9,0.1,13.37,15.56,11.09,19.88,32.81,4.94,511.65
Ahmedabad,28-06-2021,2,357.15,0,13.71,33.62,13.47,15.66,30.45,4.75,468.81
Ahmedabad,29-06-2021,3,387.19,0.02,14.74,21.82,12.76,17.66,38.49,3.74,496.42
